# File: FAO_CL_kha_RESOURCESTAT.csv
# Title: FAO cropland area by country_year
# Units: 1000 Ha
# Description:  Data is cleaned and generated by gcamdata-FAOSTAT
# Data source: FAOSTAT (domain:RL FAO.udpate:2021-06-17T00:00:00)
# Date of CSV last update: 2022-04-13
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
29,Burundi,6621,Arable land,5110,Area,1000 ha,930,930,930,935,942,935,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,940,940,950,950,960,960,975,986,990,985,956,900,850,900,950,950,1000,1100,1200,1200,1200,1200,1200,1200,1200
32,Cameroon,6621,Arable land,5110,Area,1000 ha,5450,5500,5550,5600,5666,5639,5898,5910,5910,5910,5910,5910,5910,5930,5930,5940,5940,5940,5950,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5963,5963,5963,5963,5963,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200
33,Canada,6621,Arable land,5110,Area,1000 ha,38812,38934,39056,39176,39456,39736,40016,40296,40578,40778,40978,41178,41378,41579,41526,41473,41420,41367,41317.4099,41266,41214,41162,41110,41059,41037,41015,40993,40971,40948,40615,40282,39949,39616,39283,38884,38485,38086,37687,37285,37534,37783,38032,38282,38530,38509,38690,38648
35,Cabo Verde,6621,Arable land,5110,Area,1000 ha,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,40,40,41,41,41,41,41,42,42,44,44,44,44,46,47,47,48,48,48,48,50,50,50,50,55,55,50,50,50,50,50,50
36,Cayman Islands,6621,Arable land,5110,Area,1000 ha,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
37,Central African Republic,6621,Arable land,5110,Area,1000 ha,1800,1810,1820,1830,1840,1850,1860,1870,1870,1880,1890,1900,1900,1920,1920,1920,1920,1920,1920,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1910,1930,1930,1930,1930,1930,1950,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
38,Sri Lanka,6621,Arable land,5110,Area,1000 ha,828,834,850,900,950,1000,900,900,900,857,869,872,876,887,895,898,901,900,903,905,880,883,886,887,888,889,905,915,916,936,950,900,1100,1050,1000,1200,1200,1200,1300,1300,1300,1300,1300,1310,1320.2,1371.6,1371.5728
39,Chad,6621,Arable land,5110,Area,1000 ha,2907,2917,2997,3095,3095,3143,3140,3137,3135,3132,3130,3127,3130,3180,3180,3203,3223,3273,3322,3342,3370,3390,3420,3400,3600,3600,3600,3600,3900,3700,3800,3800,3900,3900,3900,3900,4000,4200,4300,4650,5000,5200,5200,5200,5200,5200,5200
40,Chile,6621,Arable land,5110,Area,1000 ha,4102,4152,4152,4198,4095,3992,3889,3836,3733,3580,3528,3475,3444,3354,3076,3059,3070,2802,2685,2440,2304,2276,2120,1985,1982,1979,1800,1750,1750,1650,1500,1500,1450,1350,1262,1312,1310,1271,1317,1283,1309,1289.2,1313,1269.8,1282,1213,1168
41,"China, mainland",6621,Arable land,5110,Area,1000 ha,97920,98460,96990,96803.3333,96616.6667,96430,96299.5,96175,96790,101700,107300,114000,120100,120500,120200,120900,122200,123800,124875,122900,121300,120700,119580,119339,119039.25,119039.5,119039.75,119040,119633.8444,120027.6889,120221.5333,120415.3778,120659.2222,121003.0667,120946.9111,121190.7556,121384.6,120768.3,120038.6,119358.4,119163.4,119057.3,118998.7,118920.9,118881,118881,118881
44,Colombia,6621,Arable land,5110,Area,1000 ha,3604,3619,3635,3650,3666,3681,3697,3712,3728,3743,3759,3774,3790,3805,3824,3639,3472,3305,3038,3070,2923,2832,2399,2433,2539,2551,2536,2818,2434,2211,2264,2238,2026,1904.6,1998,1830,1775,1763,1586,1578,1682,1706.7,1731.5,1756.2,6019,6021,5971
45,Comoros,6621,Arable land,5110,Area,1000 ha,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,66,66,66
46,Congo,6621,Arable land,5110,Area,1000 ha,524,526,527,531,528,483,485,488,491,516,520,522,528,525,498,500,502,479,481,480,485,473,475,477,490,491,495,490,490,490,490,490,490,490,490,490,500,510,530,530,550,550,550,550,550,550,550
47,Cook Islands,6621,Arable land,5110,Area,1000 ha,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.8,1.69,1.58,1.47,1.36,1.25,1.14,1.03,0.92,0.81,0.7,0.55,1,1,1,1,1,1,1,1
48,Costa Rica,6621,Arable land,5110,Area,1000 ha,283,283,283,283,283,283,283,283,283,283,283,283,285,285,285,280,260,260,260,250,230,230,220,210,210,210,220,210,210,200,210,210,210,210,200,200,220,225,232,232,232,225,253.5,267.5,251.5,252.5,254.5
49,Cuba,6621,Arable land,5110,Area,1000 ha,2784,2636,2870,3027,3031,3036,2979,2980,3000,3050,3100,3107,3168,3250,3330,3380,3401,3391,3435,3575,3630,3686,3684,3485,3628,3574,3610,3504,3739,3798,3752,3706,3672,3634,3573,3508.6,3446,3384,3321.2,3134.9,3156.4,3087.97,3013.7,2989.2,2908.6,2908.6,3009.6
50,Cyprus,6621,Arable land,5110,Area,1000 ha,307,212,116.4,114,112,110,108,107.2,110.4,115,116,115,102.8,103.2,103.4,103.4,104.4,105.6,106.2,107.6,108.7,99.4,99.1,99,98.1,100.1,101.1,98.4,98,100,112,113,123,115,109.8,82.4,86.9,82.6,84,85.8,79.73,80.18,98.38,81.6,94.33,104.005,96.2615
51,Czechoslovakia,6621,Arable land,5110,Area,1000 ha,5184,5161,5126,5125,5126,5112,5079,5035,5036,5036,5035,5030,5018,5010,5000,4986,4976,4964,4851,4819,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Azerbaijan,6621,Arable land,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,1704.5,1715.8,1723.6,1726.3,1784.8,1801.2,1809.7,1824.9,1825.6,1835.7,1837.3,1838.5,1840.7,1843.2,1841.3,1854,1860.2,1874,1884.1,1885.7,1896.8,1925.3,1926.5,1937.7,1999,2094.5,2097.9,2096.1
53,Benin,6621,Arable land,5110,Area,1000 ha,1300,1330,1370,1400,1430,1450,1470,1500,1530,1550,1560,1570,1580,1590,1600,1610,1620,1615,1620,1630,1650,1700,1790,1950,2100,2250,2300,2380,2450,2550,2650,2650,2654,2500,2500,2500,2500,2500,2500,2600,2700,2700,2700,2800,2800,2800,2800
54,Denmark,6621,Arable land,5110,Area,1000 ha,2653,2641,2650,2657,2637,2643,2642,2639,2637,2630,2593,2612,2601,2594,2578,2560,2545,2561,2548,2539,2533,2365,2319,2322,2365,2366,2294,2281,2292,2276,2266,2269,2332,2347,2306,2402,2431,2421,2499,2418,2407.6,2432,2351.651,2370.5,2367.4,2388.4,2393.2
55,Dominica,6621,Arable land,5110,Area,1000 ha,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,4,4,4,4,3,3,3,3,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6
56,Dominican Republic,6621,Arable land,5110,Area,1000 ha,865,885,915,960,990,1015,1040,1070,1075,1075,1075,1075,1075,1075,991,991,995,900,900,900,900,900,930,935,860,870,850,898,898,898,820,820,820,820,820,800,800,800,800,800,800,800,877,877,877,877,877
57,Belarus,6621,Arable land,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,6084,6104,6225,6232,6230,6175,6187,6182,6133,5761,5616,5569,5548,5542,5540,5519,5516,5544,5535,5529,5522,5559.7,5662.1,5677.4,5683.8,5727,5712,5713
58,Ecuador,6621,Arable land,5110,Area,1000 ha,1740,1753,1720,1680,1650,1610,1580,1542,1600,1552,1560,1575,1590,1605,1616,1625,1583,1604,1644,1633,1569,1621,1574,1607,1609,1602,1610,1616,1500,1360,1299,1277,1296,1233,1195,1236,1199.4,1186.4,1155.7,1147.9,1194,970,1068,976,1033,968,989
59,Egypt,6621,Arable land,5110,Area,1000 ha,2723,2707,2691,2596,2499,2395,2304,2286,2307,2281.24,2264.74,2275.26,2305,2318,2288,2310,2296,2284,2267,2615.28,2616.18,2612.66,2817,2710.46,2778.92,2793.62,2994,2801,2861,2936,2906,2965,2563,2605,2564,2642,2884,2873,2808,2829,2707.97,2640.19,2865.8771,2786.7654000000002,2910.9688,2910.9688,2910.9688
60,El Salvador,6621,Arable land,5110,Area,1000 ha,488,488,488,475,475,515,560,558,516,479,470,480,500,520,520,540,540,550,565,588,586,584,582,565,565,600,631,627.1,623.2,619.3,615.4,611.5,607.6,604,630.5,638.8,647.1,655.4,663.7,672,680.3,688.6,696.9,705.2,713.5,721,721
61,Equatorial Guinea,6621,Arable land,5110,Area,1000 ha,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,120,120,120,120,120,120,120,120,120,120,120
62,Ethiopia PDR,6621,Arable land,5110,Area,1000 ha,13000,13000,13000,13000,13030,13060,13105,13000,12800,12600,12400,12000,11850,11600,11300,11100,10900,10750,10650,10650,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Estonia,6621,Arable land,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,1115,1066,949,874,884,888,887,859,843,677,613.6,545,519.3,591.8,559.1,599.3,597.8,596.4,645,632.4,620.5,638,654,675,696,684,688,692.8
64,Faroe Islands,6621,Arable land,5110,Area,1000 ha,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
66,Fiji,6621,Arable land,5110,Area,1000 ha,70,70,75,80,85,90,90,90,95,100,105,110,120,120,130,140,150,160,171,180,180,180,180,180,180,170,170,170,170,170,170,170,170,170,169,169,167.6,165,165,165,165,165,165,165,165,165,165
67,Finland,6621,Arable land,5110,Area,1000 ha,2433.1,2445.4,2451.8,2461.9,2418.6,2410.1,2399.5,2369,2352.7,2324.7,2311.4,2289.7,2274.8,2259.6,2279.2,2246.4,2260.7,2268.9,2299.7,2284.4,2275.6,2299.7,2143.5,2123.4,2125.6,2167.2,2177.1,2188.1,2193.3,2205.1,2213.8,2220.7,2236.5,2260.5,2256.7,2259.1,2258.3,2254.8,2250.5,2249.1,2224.1,2230.8,2242.3,2246,2242,2244,2245
68,France,6621,Arable land,5110,Area,1000 ha,17096,17278,17333,17131,17265,17353,17401,17472,17526,17651,17669,17809,17923,17998,18167,17813,17709.9,17784.8,17831.3,17846.9,18033.8,18096.2,18173.1,18205,18270.1,18318,18353.1,18354.4,18345.9,18371.5,18354.8,18368,18377.6,18339,18286.2,18268.7,18256.2,18300.7,18274.4,18281.7,18305.7,18333.1,18478.7,18355.916,18464.367,18126.4,18065.023
69,French Guyana,6621,Arable land,5110,Area,1000 ha,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5,6,9,10,10,10,11,11,10,10,10,10,8,12,12,12,12,12,12,12.7,11.7,11.4,11.5,11.5,10.6,11.5,12.7,13.2,13.6,13.2,13.28,13.28,13.28
70,French Polynesia,6621,Arable land,5110,Area,1000 ha,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
