# File: FAO_Fert_Prod_tN_RESOURCESTAT.csv
# Title: FAO fertilizer production by country_year
# Units: tonnes N
# Description:  Data is preprocessed and generated by gamdata-FAOSTAT
# Data source: FAOSTAT (domain:RFN FAO.udpate:2021-07-02T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40,Chile,3102,Nutrient nitrogen N (total),5510,Production,tonnes,106654,111410,85268,95872,88890,90218,93863,100730,98220,90728,98080,112750,126700,122260,115000,115000,105000,110000,98000,126000,116000,97000,111000,111000,115000,97000,95000,112500,115000,115000,167555,120370,130750,122776,167056,207643,198198,190000,150000,130000,106000,0,0,0,48700,40900,40900
41,"China, mainland",3102,Nutrient nitrogen N (total),5510,Production,tonnes,3220000,3017000,3964000,4042000,5751000,7903100,9095900,10286000,10154000,10458000,11322500,12452000,11666700,11858500,13684900,13953700,14519300,14915500,15300700,15962619,15581034,16342016,19035070,21042778,20232134,21530000,22833057,21559100,22075728,23352352.03,25766680.19,27608176.86,26932057.59,27733734.66,31252787.07,30942146.41,30965619.35,33928761.36,33856908.59,35234573.55,36138484.63,39595785.82,40465381.83,37436500.24,34812344.29,32657767.24,32396037.49
44,Colombia,3102,Nutrient nitrogen N (total),5510,Production,tonnes,81336,86673,65547,66392,71600,59395,56669,41900,42200,48300,53940,60444,65065,97400,91386,97759,100400,99700,98800,85600,82100,95000,92700,109000,92300,93000,75500,76700,77762,81000,86200,77200,54700,67500,70200,70200,83300,116900,107800,80500,77700,98100,95400,84900,87200,92400,92400
46,Congo,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Cook Islands,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Costa Rica,3102,Nutrient nitrogen N (total),5510,Production,tonnes,27000,30000,30000,30791,32355,33100,36000,40000,42000,50000,36000,40500,30500,32000,30000,27700,24000,30200,39400,39900,49000,40600,44000,56000,41000,32000,52600,13400,500,458.3333333333333,416.6666666666667,375,333.33333333333337,291.66666666666663,250,208.33333333333331,166.66666666666669,125,83.33333333333331,41.666666666666686,0,0,0,0,0,0,0
49,Cuba,3102,Nutrient nitrogen N (total),5510,Production,tonnes,20000,45900,82000,68700,49600,34300,131500,111900,142198,96050,91571,169062,175518,167174,156937,142114,145927,140000,120000,100000,70000,15000,55000,60000,62000,50000,50000,50000,50000,5053.14,7175.03,17189.86,9338.13,14173.52,15866.94,13967.12,9103.29,12044.26,15135.97,19844.06,21327.44,18945.26,19600,13400,9600,9400,9400
50,Cyprus,3102,Nutrient nitrogen N (total),5510,Production,tonnes,2584,2584,2584,2584,2584,2584,2584,2584,2584,2584,8910,8008.5,7107,6205.5,5304,16468,11192,10331.076923076924,9470.153846153846,8609.23076923077,7748.3076923076915,6887.384615384615,6026.461538461538,5165.538461538462,4304.615384615384,3443.6923076923076,2582.7692307692305,1721.8461538461543,860.9230769230762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Czechoslovakia,3102,Nutrient nitrogen N (total),5510,Production,tonnes,413800,483300,496000,568000,605000,625000,650300,705000,674000,656000,685700,687500,689600,700000,625355,585758,674996,604001,535800,413700,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Azerbaijan,3102,Nutrient nitrogen N (total),5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Benin,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Denmark,3102,Nutrient nitrogen N (total),5510,Production,tonnes,63593,81339,80033,109301,116836,121318,130936,146687,130703,161300,202514,186727,169284,157985,190600,191000,200400,184900,173400,171000,179000,163000,165000,150000,156000,150000,184000,131000,132000,116165,148459,92787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Dominica,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Dominican Republic,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Belarus,3102,Nutrient nitrogen N (total),5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,567700,457800,404800,429000,449600,378900,442500,534400,574300,608200,644420,635865,665034,682065,711548,749944,727975,731378,771295,813922,832766,833096,841911,861185,843010,854320,869965,988187
58,Ecuador,3102,Nutrient nitrogen N (total),5510,Production,tonnes,1500,2000,1726,1887,1581,1600,2488,2400,2500,3000,2100,2700,2606.896551724138,2513.793103448276,2420.689655172414,2327.5862068965516,2234.4827586206898,2141.3793103448274,2048.2758620689656,1955.1724137931035,1862.0689655172414,1768.9655172413793,1675.8620689655172,1582.7586206896551,1489.655172413793,1396.551724137931,1303.4482758620688,1210.344827586207,1117.2413793103449,1024.1379310344828,931.0344827586207,837.9310344827586,744.8275862068965,651.7241379310344,558.6206896551726,465.51724137931024,372.41379310344837,279.31034482758605,186.20689655172418,93.10344827586187,0,0,0,0,0,0,0
59,Egypt,3102,Nutrient nitrogen N (total),5510,Production,tonnes,50700,100200,150540,169913,195171,216456,263930,400472,482000,663400,639000,625000,690000,665000,650000,700000,700000,676123,823594,762307,862646,895100,1031000,1019400,943800,1111000,1268500,1287455,1578160,1557510,1558830,1584400,1552008,1750977,2286460,2618560,2723590,2800020,2687430,2391830,2660000,2660000,2200000,1800000,2800000,3700000,4200000
