# File: FAO_Fert_Cons_tN_RESOURCESTAT.csv
# Title: FAO fertilizer consumption (Ag use) by country_year
# Units: tonnes N
# Description:  Data is preprocessed and generated by gamdata-FAOSTAT
# Data source: FAOSTAT (domain:RFN FAO.udpate:2021-07-02T00:00:00)
# Date of CSV last update: 2022-04-14
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
38,Sri Lanka,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,56800,55300,40100,52300,65400,80900,77200,91600,78500,79400,83009,100313,101727,99261,103908,106000,108531,92406,95824,102196,115061,123800,115924,117568,122494,142226,163798,157473,158448,188317,150656,163234,181556,175249,161607,209393,181732,166096,209380,164271.63,127751.91,227848.88,225428.42,117776.99,109729.92,68829.65,142851.89
40,Chile,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,59301,52080,36693,48545,37105,49336,56722,50836,47733,48057,64871,86290,104465,135978,142700,152500,156900,164098,157400,174000,195000,195000,215000,225000,220000,215000,235996,235000,226000,246316,221073,292680,240708,271154,324391,394599,354384,348444,276078,273403,288847,279778,328963,263680.38,213986.37,205522.83,235689.85
41,"China, mainland",3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,4451000,3849000,5039000,4755000,7073000,9280000,10641000,12112100,11528300,12274900,13722000,15179500,13838300,13576100,16803900,18514000,18855296,19557800,19970500,20329000,18003300,19160000,23781500,25275000,22949700,22887000,24142000,22139168,22422712,25040933.33,25198324.67,26232233.33,26636828.33,27244473.86,27982007.23,28390797.04,28961333.33,29531824.95,30131119.67,30632100.21,30800704.19,30981666.67,30795477,30387931,29544991,28141472,26737666.67
44,Colombia,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,125700,122700,111305,142740,144000,133749,151024,151200,143000,149400,157360,180990,184100,224429,244999,261700,268900,311800,298900,255400,251900,252800,241400,236000,265200,296800,299800,334300,301383,358695.41,374170.86,378297.92,345419.36,345085.17,355499.99,338896.47,367566.92,404440.08,442646.39,421988.8,387838.16,463158.22,468536.73,433134.51,532467.51,490329.17,462365.73
46,Congo,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,1200,200,200,120,110,100,90,176,154,900,800,900,1300,700,100,500,207,641,1300,1100,1000,900,1000,2000,2000,2000,2000,2000,2648,2010,1372,734,9,24,64,252,913,110,282,681.61,637.43,290.4,304.58,318.76,332.94,328.05,820.85
47,Cook Islands,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,12,19,28,4,18,19,7,7,15.21,7.98,7.37,25.4,32.22,13.62,11.7,13.22
48,Costa Rica,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,34000,33900,31100,28488,40543,40880,39400,40500,45200,49000,54000,50600,49000,52000,55000,58970,63000,55600,62400,65000,60000,70000,70000,89000,100000,104000,80000,68000,53223,54917.3,77398.81,63074.05,68020.16,71534.41,74154.9,81537.78,45373.7,61204.54,94606.97,87871.7,89977.62,77922.43,85645.44,98943.49,90742.34,96211.93,93281.24
49,Cuba,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,130400,139800,156300,187200,223000,225000,280400,267400,314992,276703,248700,294400,293600,328400,306400,304700,366700,283000,240000,192000,120000,72000,100000,100000,133000,107000,72300,78000,116600,63804.92,21886.79,39887.54,29194.24,44389.23,35586.05,33216.63,13650.9,56986.27,56496.34,59659.05,70564.42,78389.09,62384.01,48839.25,52766.36,40019.11,40019.11
50,Cyprus,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,19645,7441,7466,9148,6128,7690,9136,8197,9036,11638,10491,10188,10088,11284,11926,12141,12904,12622,12272,15999,14512,14404,12948,13765,10760,10824,10884,7828,7908,8629,9591,8209,7225,6638,6340,4785,7031,8437,7408,8791,6979,6242,7940,7968.23,7971.89,7774.26,8164.49
51,Czechoslovakia,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,465102,506556,531969,582000,601000,628000,630000,675000,615000,634000,656400,692300,674000,646300,587700,644400,669900,588300,287800,280000,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Azerbaijan,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,,,,,,,,,,,,,,,,,,,,50000,34000,34000,34000,16600,20000,13000,13800,2100,9900,15751,12586,19645,17575,20356,16783,29670,19277,12812,22512,27541.31,25389.71,37957.3,89732,86584,71689,118933.89,148695
53,Benin,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,1300,1341,791,1000,700,1600,900,382,527,1100,3000,3566,3800,4309,3432,2121,1100,5116,5010,6197,7867,7741,14000,14453,18764,15338,34600,14300,15100,23558,1318,145,413,11,576,357,5794,12079,4130,8936.76,5029.22,14764.21,184.86,14183.61,45.91,48059.06,75342.4
54,Denmark,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,365148,300445,339088,349497,373710,379884,393900,374099,375972,391392,419037,398147,382087,381263,367000,376900,400400,394900,370000,333000,325000,316000,291000,288000,283000,263000,248000,234000,210629,202000,206000,182171,179046,190309,192937,218223,186981,180105,183151,189000,178564,204668,225054,240725.87,236468.83,223928.84,224988.78
55,Dominica,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,1600,1600,1600,1600,1800,1400,500,900,1000,1283,784,800,900,1000,1000,1000,2000,2200,2400,2000,2000,1800,1077,929,1000,1000,1000,1000,1000,157,247,347,408,158,616,203,121,114,186,119.08,292.9,56.23,315.53,93.38,103.6,50.1,226.09
