# File: FAO_fallowland_kha_RESOURCESTAT.csv
# Title: FAO fallow land by country_year
# Units: 1000 Ha
# Description:  Data is cleaned and generated by gcamdata-FAOSTAT
# Data source: FAOSTAT (domain:RL FAO.udpate:2021-06-17T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
130,Malawi,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Malaysia,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.9,118.5,120,120,120,120,120
132,Maldives,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Mali,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1519,1346,1000,1100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
134,Malta,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.9,1.1,0.9,0.7,0.7,0.7,1.01,1.01,1,0.96,0.96,0.96,0.85,0.85,0.85,0.85
135,Martinique,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1.5,2,2.5,2.9,2.3,2.1,2.1,2.1,2,2,2.7,2.5,2.33,3.7,3.4
136,Mauritania,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Mauritius,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Mexico,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,9523,9523,9523,9523,9358,9193,9028,8863,8698,8533,8368,8203,8038,7873,7708,7543,7378,7050,6721,6720,6391,6390,6061,5080,5080,5080,3874,3874,3974
141,Mongolia,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.9385,446.9567,475.78,471.2,478.4,479.5,472.5,363.3,312.06,306.61,330.36,292,304.95,304.95,304.95,260.63,241.01,231.6,216.6
