# File: FAO_For_Imp_m3_FORESTAT.csv
# Title: FAO forests export (roundwood total) by country_year
# Units: m3
# Description:  Data is preprocessed and generated by gcamdata-FAOSTAT
# Data source: FAOSTAT (domain:FO FAO.udpate:2021-12-16T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: icicccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
21,Brazil,1861,Roundwood,Import,m3,82455.90678591789,92250.68047905287,98075.26361480121,51583.65220189088,46288.91196591019,83990.63164781914,56983.226669551645,44087.78007760766,30027.5023543889,30579.21054374303,25698.21102374866,44176.01374730033,54567.33386522803,62508.701403258194,54273.60642074405,25686.38685998649,39813.30580425145,4295.568584891781,5857.129624263536,8986.921769352924,8060.8534956122485,9377.560804648367,10891.012275338038,5173.321973064091,10702.82881704645,30496.510942296256,16002.355273213829,25717.448186964895,88940.31287808581,16460.305364018728,18779.297474087445,13653.304517596309,12318.758808297549,16442.319365195934,7888.907466643085,18505.760408373393,40324.89698976759,28675.952313883718,31276.09311621698,39840.886361251585,38711.42072315944,31354.121424522746,16363.986139905128,45722.70351908714,17928.533951494384,41245.52258944708,36759.442173460215,11986.472363023175
22,Aruba,1861,Roundwood,Import,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447.8881747535859,641.50988312941,854.0159003003624,423.3292375500429,968.0673881162254,993.804870124596,997.5726521644343,994.3900955474065,1005.4011026782829,997.2199444649104,1025.0870533181794,1009.5852651376557,1020.7786457540739,1001.8500818769833,996.3353957146325,1010.090781617466,1019.0448994075346,1007.8079288636541,1004.2951963337728,2493.873939232879,2657.6157000639764,3430.158701296176,159.36354544500637,246.9740658604777,204.1532748236879,434.2482018867094,227.32925492152836,199.82761871928653,482.2480583946542,986.11302533846094,566.2112633509528
23,Belize,1861,Roundwood,Import,m3,0,0,0,101.94397668357882,301.22936203412274,398.05986562947464,383.17667017340506,376.1491961703158,359.2282057717227,357.8212492468349,342.7378865727485,334.84021821936625,327.4078381294429,317.90577306804107,1116.2846607942872,304.3318603670138,296.16025273505676,977.950767169204,70.13291326816702,652.4154683196126,364.7779265314457,145.87316807230792,71.4204055475697,66.56227981153842,71.81856379163114,65.91181397205963,124.89643140069329,520.5676914600149,691.4967569435998,642.2315745791287,8909.799798610471,3388.710210865032,3435.4946740727123,1818.7259261441714,3723.564324255536,3545.4961530061173,914.792311178551,7238.715626823432,12446.690050115485,389.88942879312873,176.41004704319835,158.8976227691758,838.616940340847,286.37581464140584,822.2906510298641,3249.503788160298,15953.051382809861,1526.569589882604
25,Solomon Islands,1861,Roundwood,Import,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.95431896061093,87.77111901252398,365.3370545681647,289.10787121629926
26,Brunei Darussalam,1861,Roundwood,Import,m3,100.80184203657443,196.9064684718311,537.13900819962,879.2667988958673,1198.6418364274468,1517.603237712372,1820.5699570629129,2157.5395731491444,2431.889760614696,2811.314517731214,3084.99750261511,3417.8028257134893,3758.8385223023342,4077.716068103171,467.93095373993083,4797.602178964658,5144.625609393117,1506.0041014911,469.2716990737645,680.7813582465523,1179.5980770027647,1093.1015321782038,1669.6310782817334,683.2689398386536,681.0891065393196,321.6890025203508,1662.6837430217295,189.57089342185512,253.87809504929308,120.8553973935841,1513.5582450274583,252.49595644822878,255.98191040990574,258.25110464437523,319.5007523990449,261.3919004156395,296.1411916453846,243.05031140015376,243.79805508775615,178.40698798245995,937.4933928581398,924.2209830688137,71.71071223817219,4.920546643323124,22.980176152717952,62.13011795268551,0.9900733186129126,171.0638269134504
27,Bulgaria,1861,Roundwood,Import,m3,397663.2668342861,373826.9303937713,398367.56561063585,376275.2179390894,408868.6540676493,402139.97925217677,214790.47574237196,317293.93402609363,319295.6600834858,314867.22598589596,370345.16188564576,364500.76541274675,273032.25116795104,396344.234835034,329658.27726679377,221656.65881108033,134170.8405603274,67728.01195903693,733.3014902009814,132632.8228933856,205.30979188339262,1799.7338918012017,1847.5824395662746,2440.246213709477,972.9844379133136,1856.4489443311018,49763.42188621373,105317.16301214173,122560.88520068362,70915.15053673116,69600.15245916421,76041.25329328897,47477.23177745422,52060.03252736476,133653.87029986715,201929.17377635092,45464.77219270872,39660.033395070175,60082.23216613505,60367.71284372788,44580.330973933735,32563.95585611337,15251.474118099039,13342.554278034984,15617.527541005838,18100.574363549047,18424.27438606769,13905.18826957287
28,Myanmar,1861,Roundwood,Import,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.10793179009941,10623.073627384121,192.48282450423352,254.79431391487495,222.62371212801122,277.6095370423962,331.0316589557793,450.28765215984566,614.0718304359176,687.6988103797272,797.8754215821882,941.9422198594601,1049.3995501870675,1026.220134524059,971.0697936880583,1056.5427437251537,1036.9214572848055,917.0034310928372,917.218024929355,1078.871969490639,1014.7959719776817,936.9537831854304,1031.8508035620218,1019.7890029360447,254.43733266203466,167.32499522240178,1114.0117600483554,4.995690467982163,1229.7818585237908,988.0931719756868,44.016423299367354
29,Burundi,1861,Roundwood,Import,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.12375987986692,231.27323179891098,234.32050035300455,1443.6700663956844,43.23775796348924,644.0056736123945,339.672771260051,340.71777370870836,250.57161233491564,2173.3717795722036,1149.4935621846073,3183.8434231316833,0.9841093286646249,178.84571875376145,59.17154090731953,8.366908761044732,9.29007168430959
32,Cameroon,1861,Roundwood,Import,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.76396459088295,163.37723449983397,198.01609557309823,320.5053033499384,385.1983434337392,447.22891272066335,596.1713037326799,800.2363588682929,884.824387057905,438.3200022505327,74.08893824395712,8.989244434233527,8.822554537077153,4048.8189145250385,8216.908766192599,5825.107927924479,4259.023918553936,6713.644600149056,638.934762796549,807.8434530554291,5149.73432755039,955.1789862206984,1175.250308576462,743.1983748507653,3.983928457676233,11.8093119439755,5689.092304938087,8485.598241703467,7697.556060161153,8045.001731216188
33,Canada,1861,Roundwood,Import,m3,3343395.4966691006,3397030.39407603,2950751.0240560398,3197574.772657133,2753437.188566571,3030728.301936412,3658597.770145069,2957727.8500386993,2585454.8490219484,2495362.222984088,3097167.787458433,3731608.209711382,4302800.51983877,4637266.615508274,4661750.1110669775,4935951.637148756,4628296.799744232,1551872.5976680515,2352840.63301427,5218650.056671136,4369124.356144805,5034570.852782861,6440380.660784943,6008862.276638216,6592261.462194074,6897720.520096917,6050875.951383424,6559692.5374790495,7501823.085708853,6986947.168389427,6521891.108740519,5875719.340626791,6271709.998850079,5860355.713828644,5100245.73289822,4657084.863049971,4795225.678431363,4821110.11705144,4372802.882120628,4598490.229570372,4980917.517116472,4371625.590784895,4630087.790119428,6093683.69183765,4292255.286290344,5061799.881146195,4698100.861848586,4420496.364707717
