# File: FAO_an_Dairy_Stocks.csv
# Title: FAO all animal stock by area_item_year
# Units: Head
# Description:  Data is preprocessed and generated by gcamdata-FAOSTAT
# Data source: FAOSTAT (domain:QCL FAO.udpate:2022-02-16T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: iciccicnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element,element_code,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
15,Belgium-Luxembourg,882,"Milk, whole fresh cow",Milk Animals,5318,Head,1076342,1070533,1060610,1058892,1049879,1046469,1050300,1044030,1034000,1035223,1052670,1058714,1030450,1010000,984300,952910,930439,910200,856904,815110,752582,746628,734921,699900,683669,683046,679000,,,,,,,,,,,,,,,,,,,,,
16,Bangladesh,882,"Milk, whole fresh cow",Milk Animals,5318,Head,2739072,2785988,2823632,3119972,3169988,3658180,3772412,3735000,3822000,3833000,3883000,3398594,3434000,3469000,3504000,3540000,3573000,3615000,3618000,3655000,3727000,3760000,3790000,3730000,3790000,3650000,3740000,3780000,3810000,3840000,3870000,3900000,3930000,3960000,3990000,4022000,4034000,4047000,4059000,4065000,4077000,4080000,4090000,4011755,4034905,4058195,4074443,4105199
16,Bangladesh,951,"Milk, whole fresh buffalo",Milk Animals,5318,Head,55000,55000,60000,60000,62000,62000,63000,63000,60000,54000,51000,44015,44000,49000,51000,53000,54000,54000,53000,55000,58000,58500,59000,55000,57000,55000,57000,60000,62000,65000,68000,71000,74000,77000,80000,84000,87000,90000,93000,94000,95000,88870,89227,89584,89940,90297,90565,90743
16,Bangladesh,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,338000,360000,384000,409000,436000,360000,382000,212000,216000,221000,226000,240000,255000,266000,277000,289000,216000,288000,216000,252000,260000,278000,300000,310000,320000,311000,320000,323000,326000,341000,360000,379000,399000,422000,445000,469000,493000,520000,530000,540000,545000,570000,600000,533943,548083,564654,579569,593291
16,Bangladesh,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,4896000,5088000,5280000,5568000,5760000,5923000,6278000,4420000,4522000,4625000,4732000,6508000,7104000,7621000,8176000,8772000,9410000,10095000,10729000,11510000,12464000,13440000,14500000,16000000,16600000,16000000,16200000,16400000,16500000,17700000,19000000,20400000,21900000,23500000,25200000,27100000,29100000,31200000,32400000,32600000,32700000,27843188,27902093,27954989,28241469,28679819,29188582,29785464
18,Bhutan,882,"Milk, whole fresh cow",Milk Animals,5318,Head,84000,86000,89000,93000,95000,98000,98500,100000,107500,107900,108000,108420,108500,109000,109500,110000,120000,140000,157000,152900,152100,151500,167400,159200,159000,159300,167412,160000,145520,160000,148258,150180,167980,165000,163260,146054,151000,151000,150000,150000,150000,152000,137825,137820,137870,136121,137748,129339
18,Bhutan,951,"Milk, whole fresh buffalo",Milk Animals,5318,Head,4700,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,2350,2300,1900,2090,1900,1150,400,530,670,540,1280,1440,1200,1060,970,880,800,761,731,716,696,655,541,197,209,419,378,210,313,318,296,303,296,273,239
19,Bolivia (Plurinational State of),882,"Milk, whole fresh cow",Milk Animals,5318,Head,36000,36500,38000,40000,42000,44000,47000,51000,54000,57000,60000,65000,68000,68000,74000,75000,78000,81000,84000,92000,96000,99000,135000,140000,143000,146000,149600,137000,113000,182000,185000,190000,195000,157000,160000,162000,173800,177000,180000,187000,198000,200000,205000,198000,200000,188589,191215,196740
19,Bolivia (Plurinational State of),982,"Milk, whole fresh sheep",Milk Animals,5318,Head,952000,976000,1000000,1020000,1040000,1060000,1100000,1130000,1135000,1155000,1160000,1165000,1180000,1000000,1100000,1150000,1200000,1222642,1100000,1150000,1048426,1160000,1093937,1117238,1160000,1160000,1160000,1156379,1160500,1161000,1162000,1221686,1165000,1162000,1273752,1292564,1313378,1334261,1237800,1240000,1277000,1240000,1255000,1270000,1277000,1184947,1193424,1201650
19,Bolivia (Plurinational State of),1020,"Milk, whole fresh goat",Milk Animals,5318,Head,400000,410000,420000,430000,440000,450000,466000,466000,420000,400000,380000,360000,350000,350000,350000,360000,367000,373925,370000,320727,325373,372000,334140,339012,372000,372000,372000,359803,375000,375500,378000,390103,399391,408357,379000,428197,295258,446724,456237,466055,475969,440532,444849,449890,450119,454262,457381,460223
