# File: GCAMLandProfit.csv
# Title: GCAM Land Profit from model results
# Units: NA
# Author: XZ
# Description: We pull results to compare unmanaged land value from different sources
# Source: GCAM
# Column types: ccnn
# ----------
region,LandLeaf,Tkm2,Rent_DollarPerTkm2
Africa_Eastern,FodderHerb_AfrCstNE_IRR_hi,1.30E-06,1.11E+07
Africa_Eastern,FodderHerb_AfrCstNE_IRR_lo,1.30E-06,7230850
Africa_Eastern,FodderHerb_AfrCstNE_RFD_hi,2.42E-05,1.12E+07
Africa_Eastern,FodderHerb_AfrCstNE_RFD_lo,2.42E-05,7497520
Africa_Eastern,FodderHerb_NileR_IRR_hi,1.11E-04,5992850
Africa_Eastern,FodderHerb_NileR_IRR_lo,1.11E-04,3993350
Africa_Eastern,FodderHerb_NileR_RFD_hi,0.0026956,6049930
Africa_Eastern,FodderHerb_NileR_RFD_lo,0.0026956,4033210
Africa_Eastern,FodderHerb_RiftValley_IRR_hi,1.08E-04,8562490
Africa_Eastern,FodderHerb_RiftValley_IRR_lo,1.08E-04,5708330
Africa_Eastern,FodderHerb_RiftValley_RFD_hi,0.0015355,8593110
Africa_Eastern,FodderHerb_RiftValley_RFD_lo,0.0015355,5728880
Africa_Eastern,FodderHerb_ShebJubR_IRR_hi,1.64E-05,1.47E+07
Africa_Eastern,FodderHerb_ShebJubR_IRR_lo,1.64E-05,9836260
Africa_Eastern,FodderHerb_ShebJubR_RFD_hi,4.17E-04,1.48E+07
Africa_Eastern,FodderHerb_ShebJubR_RFD_lo,4.17E-04,9856870
Africa_Eastern,Forest_AfrCstE,4.95991,1.02E+08
Africa_Eastern,Forest_AfrCstNE,0.20913,9.62E+07
Africa_Eastern,Forest_CongoR,0.46672,1.03E+08
Africa_Eastern,Forest_Madagascar,82.9953,1.16E+08
Africa_Eastern,Forest_NileR,23.62,1.13E+08
Africa_Eastern,Forest_RiftValley,9.35087,1.12E+08
Africa_Eastern,Forest_ShebJubR,7.56531,1.11E+08
Africa_Eastern,FruitsTree_AfrCstE_IRR_hi,0.0242436,1.07E+07
Africa_Eastern,FruitsTree_AfrCstE_IRR_lo,0.0242436,7146900
Africa_Eastern,FruitsTree_AfrCstE_RFD_hi,0.178499,1.08E+07
Africa_Eastern,FruitsTree_AfrCstE_RFD_lo,0.178499,7168940
Africa_Eastern,FruitsTree_AfrCstNE_IRR_hi,0.0305179,4660420
Africa_Eastern,FruitsTree_AfrCstNE_IRR_lo,0.0305179,3106960
Africa_Eastern,FruitsTree_AfrCstNE_RFD_hi,0.0075858,6068330
Africa_Eastern,FruitsTree_AfrCstNE_RFD_lo,0.0075858,4045630
Africa_Eastern,FruitsTree_CongoR_IRR_hi,0,0
Africa_Eastern,FruitsTree_CongoR_IRR_lo,0,0
Africa_Eastern,FruitsTree_CongoR_RFD_hi,0.729289,6107440
Africa_Eastern,FruitsTree_CongoR_RFD_lo,0.729289,4071630
Africa_Eastern,FruitsTree_LChad_IRR_hi,0.0032132,1.76E+07
Africa_Eastern,FruitsTree_LChad_IRR_lo,0.0032132,1.17E+07
Africa_Eastern,FruitsTree_LChad_RFD_hi,0.0297467,9617070
Africa_Eastern,FruitsTree_LChad_RFD_lo,0.0297467,6411380
Africa_Eastern,FruitsTree_Madagascar_IRR_hi,0,0
Africa_Eastern,FruitsTree_Madagascar_IRR_lo,0,0
Africa_Eastern,FruitsTree_Madagascar_RFD_hi,0.551831,7943230
Africa_Eastern,FruitsTree_Madagascar_RFD_lo,0.551831,5295490
Africa_Eastern,FruitsTree_NileR_IRR_hi,0.070981,1.17E+07
Africa_Eastern,FruitsTree_NileR_IRR_lo,0.070981,7777840
Africa_Eastern,FruitsTree_NileR_RFD_hi,10.8116,7498850
Africa_Eastern,FruitsTree_NileR_RFD_lo,10.8116,4999230
Africa_Eastern,FruitsTree_RiftValley_IRR_hi,0.0107059,1.57E+07
Africa_Eastern,FruitsTree_RiftValley_IRR_lo,0.0107059,1.04E+07
Africa_Eastern,FruitsTree_RiftValley_RFD_hi,0.15182,2.37E+07
Africa_Eastern,FruitsTree_RiftValley_RFD_lo,0.15182,1.58E+07
Africa_Eastern,FruitsTree_ShebJubR_IRR_hi,0.0331992,1.04E+07
